Earth science is the study of the Earth and its neighbors in space.	Ẹ̀kọ́ nípa ilẹ̀-ayé jẹ́ ẹ̀kọ́ ilẹ̀ ayé àti àwọn alábagbé rẹ̀ ní òfúrufú.
Geology is the study of the solid Earth and the processes by which it evolves.	Ẹ̀kọ́ Ìṣẹ̀dálẹ̀-ayé jẹ́ ẹ̀kọ́ nípa orílẹ̀ ayé àti gbogbo àwọn ọ̀nà tí ó gbà yà.
Many Earth scientists use their knowledge to locate and develop energy and mineral resources.	Àwọn akẹ́kọ ilẹ̀-ayé á ma lo ìmọ̀ wọn fún ṣiṣe àwárí àti láti ṣe ìdàgbàsókè àwọn agbára àti oun àlùmọ́nì ilẹ̀ ayé.
Some Earth scientists study the impact of human activity on Earth's environment.	Àwọn míràn a máa ṣe àmúlò ẹ̀kọ́ yi fún ìmọ̀ bí ìṣe àwọn ọmọ aráyé ṣe nní ìkópa lórí àyíká ayé.
Rocks are solid mineral masses found on the Earth's crust.	Àpáta jẹ́ àwọn nkan tí a ní nínú àlùmọ́nì tí a lè rí ní apá òkè ilẹ̀ ayé.
The Earth's crust is the solid outermost layer of our planet.	Apá òkè ilẹ̀ ayé ni àgbèègbè líle tí ó wà lókè àgbáyé wa.
Minerals are naturally occurring substances that are neither plants nor animals.	Àlùmọ́nì jẹ́ àwọn eléyi jẹ́ àwọn nkan tó ti wà láti ayébáyé, tí wọ́n sì ní ìwúlò tí wọ́n kì íṣe onjẹ tàbí àwọn ẹran.
Granite is a hard igneous rock commonly used in construction.	Akọ-àpáta jẹ́ àpáta àfinádá tó le tí a má nlò fún ilé kíkọ́.
A volcano is a vent in the Earth's crust through which lava and ashes are expelled.	Ìfẹ̀-ilẹ̀ jẹ́ ìfẹ̀ láti inú ilẹ̀ wá tó nfa ki ọ̀gọ̀dọ̀-gbígbóná àti eérú tu jáde.
An earthquake is the shaking of the Earth's crust.	Ìjì-ilẹ jẹ́ mímì tí apá òkè ilẹ̀ ayé.
Seismology is the science of earthquakes and the study of seismic waves.	Ẹ̀kọ́ nípa ìjì-ilẹ̀ jẹ́ ìmọ̀-jìnlẹ̀ nípa ìjì-ilẹ̀ àti ìkẹ́kọ̀ọ́ nípa àwọn agbọ̀n ìmìmì ilẹ̀.
The process of soil erosion can be greatly accelerated by human activities.	Ìlànà ìyìnrìn ilẹ̀ lè yára sí púpọ̀ nítorí àwọn iṣẹ́ ọmọ ènìyàn.
Sand is granular material composed of finely divided rock and mineral particles.	Yanrìn jẹ́ àpáta tẹ́lẹ̀ tó ti wá di ewówó, tó sì ti túká.
Sandstone is a sedimentary rock with color ranging from yellow to red.	Egúrù jẹ́ àpáta ìsìlẹ̀ tó ní àwọn awọ̀ bí àyìnrín sí pupa.
Clay is a fine-grained natural soil material that hardens when fired.	Odo jẹ́ ilẹ̀ tó ṣeé tẹ̀, tó sì má nda líle tí a bá sun ún ní iná.
Igneous rocks are formed from the cooling and solidification of magma or lava.	Àpáta àfinádá jẹ́ àpáta tí ó wá láti ìtútù àti líle ìyọ́ agbada tàbí ọ̀gọ̀dọ̀ gbígbóná.
Sedimentary rocks are formed by the deposition of sediments.	Àpáta ìsilẹ̀ jẹ́ àpáta tí ó wá láti ìsọ̀kalẹ̀ àwọn ẹ̀sín.
Metamorphic rocks are rocks that have undergone transformation by heat, pressure, or other natural processes.	Àpáta tí ó ti yípadà jẹ́ àpáta tí ó ti kọjá ìyípadà nípa iná, ìfúnpọ̀, tàbí àwọn ìlànà ẹ̀dá míràn.
Iron ore is one of Nigeria's most important mineral resources.	Irin jẹ́ ọ̀kan lára àwọn oun àlùmọ́nì tó ṣe pàtàkì jùlọ ní ilẹ̀ Nàìjíríà.
Coal is a combustible black or brownish-black sedimentary rock.	Èédú jẹ́ àpáta ìsilẹ̀ dúdú tàbí dúdú-bàbàrà tó lè jó.
Natural gas is a fossil fuel formed when layers of buried plants and animals are exposed to intense heat and pressure.	Òyì atilẹ̀tu jẹ́ ohun ìdáná rọ̀bì tó wá nígbà tí àwọn ìpele àwọn ọ̀gbìn àti ẹranko tí a sin bọ́ dojú iná líle àti ìfúnpọ̀.
Crude oil is a naturally occurring petroleum product composed of hydrocarbon deposits.	Epo rọ̀bì jẹ́ ọja epo tí ó wá látiwá pẹ̀lú àwọn ìpapọ̀ ẹlà àyípadà.
Diamond is one of the hardest naturally occurring substances found on Earth.	Èédú dídán jẹ́ ọ̀kan lára àwọn ohun tí ó le jùlọ tí ó wà látiwá lórí ilẹ̀ ayé.
Gold is a precious metal that has been valued by humans throughout history.	Wúrà jẹ́ àlùrọ iyebíye tí ènìyàn ti fẹ́ràn láti ìbẹ̀rẹ̀ ìtàn.
Copper is an excellent conductor of electricity and is widely used in electrical wiring.	Kọ́pà jẹ́ olùdarí tó dára jùlọ fún ìsán-àrá, a sì má nlò ó púpọ̀ nínú àwọn wáyà-àrá.
Geologists study the Earth's structure, composition, and physical forces that act upon it.	Àwọn akẹ́kọ̀ọ́ ìṣẹ̀dálẹ̀-ayé nkẹ́kọ̀ọ́ ètò ilẹ̀ ayé, ìdákọjọ, àti àwọn ipá ara tí ó ní agbára lé e lórí.
Landslides can occur when a slope becomes unstable.	Yíyọ́ ilẹ̀ lè ṣẹlẹ̀ nígbà tí gẹ̀rẹ̀ bá di aláìlẹ́sẹ̀múlẹ̀.
Erosion is the process by which soil is gradually removed by rain, wind, or sea.	Ìyìnrìn ilẹ̀ jẹ́ ọ̀nà tí agbára òjò, atẹ́gùn tàbí ríru omi òkun ṣe ngbá ọ̀rá ilẹ̀ lọ láti àwọn orí ilẹ̀ ayé kan.
Water erosion is the detaching and transporting of vulnerable soil by water.	Ìfomiyìnrìn ilẹ̀ jẹ́ ìmúkúrò àti ìkólọ ọ̀rá ilẹ̀ pẹ̀lú àgbàrá omi.
Wind erosion is the wearing of the Earth's surface by wind.	Ìfatẹ́gùn-yìnrìn ilẹ̀ jẹ́ ìkólọ ọ̀rá ilẹ̀ pẹ̀lú ipá atẹ́gùn.
Deforestation can accelerate soil erosion by removing protective vegetation.	Ìgbẹ́pípa lè mú ìyìnrìn ilẹ̀ ṣe kíákíá nípa yíyọ àwọn ọ̀gbìn abo kúrò.
Overgrazing can lead to soil degradation and erosion.	Ìjẹpápárun lè yọrí sí ìbàjẹ́ ilẹ̀ àti ìyìnrìn.
Terracing or contour ridging is a method used to control erosion on slopes.	Kíkọ ebè gbọọrọ jẹ́ ọ̀nà tí a nlò láti darí ìyìnrìn lórí gẹ̀rẹ̀.
Drainage channels help control water flow to prevent erosion.	Àwọn ojú àgbàrá nṣe ìrànlọ́wọ́ láti darí ìṣàn omi láti dènà ìyìnrìn.
Mixed farming helps protect soil from erosion by maintaining vegetation cover.	Gbígbin oríṣi irúgbìn sóri ilẹ̀ oko nṣe ìrànlọ́wọ́ láti dáàbò bo ilẹ̀ lọ́wọ́ ìyìnrìn nípa títọ́jú ẹ̀wẹ̀ fún àṣẹ́.
Crop rotation helps prevent soil erosion and maintains soil fertility.	Lílo ilẹ̀ oko fún oríṣiríṣi irúgbìn nṣe ìrànlọ́wọ́ láti dènà ìyìnrìn ilẹ̀ àti ṣètọ́jú ilẹ̀ fún ẹrẹ.
Mulching protects the soil surface from erosion.	Bíbo ìlẹ̀ pẹ̀lú ìràwé ndáàbò bo ojú ilẹ̀ lọ́wọ́ ìyìnrìn.
Afforestation helps prevent soil erosion by stabilizing the soil with tree roots.	Sísọ ilẹ̀ oko di aginjù fún ìgbà díẹ̀ nṣe ìrànlọ́wọ́ láti dènà ìyìnrìn ilẹ̀ nípa mímú ilẹ̀ lẹ́sẹ̀ múlẹ̀ pẹ̀lú gbòngbò igi.
Meteorology is the study of the atmosphere and how processes in the atmosphere determine Earth's weather and climate.	Ẹ̀kọ́ òyijú-ayé jẹ́ ẹ̀kọ́ òyì ojú ayé àti àwọn ọ̀nà tí òyì ojú-ayé ngbà pilẹ̀ṣẹ̀ ojú-ọjọ́ òun sáà ojú-ọjọ́.
Meteorology is a very practical science because everyone is concerned about the weather.	Ẹ̀kọ́ òyijú-ayé jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ tó wúlò nítorí ikálukú wa ló ndàníyàn nípa ojú-ọjọ́.
Weather is the state of the atmosphere at a particular place and time.	Ojú-ọjọ́ jẹ́ ipò òyì ojú ayé ní ibi kan àti àkókò kan.
Climate is the long-term pattern of weather in a particular area.	Sáà ojú-ọjọ́ jẹ́ àpẹẹrẹ ojú-ọjọ́ tí ó pẹ́ ní agbègbè kan.
The atmosphere is a layer of gases surrounding the planet Earth.	Òyì ojú-ayé jẹ́ ipele àwọn òyì tó yí ayé ka.
The atmosphere protects life on Earth by absorbing ultraviolet solar radiation.	Òyì ojú-ayé ndaabo bo àwọn oun alààyè nípa fifamu àwọn ìtànná are ti ultraviolet tí ó ti oòrùn wà.
The atmosphere warms the surface through heat retention, also known as the greenhouse effect.	Òyì ojú-ayé sì wà fún mímu ojú agbaye lọ́ nípa ṣiṣẹ́ idani ìgbóná tó ti oòrùn wà.
The atmosphere reduces temperature extremes between day and night.	Òyì ojú-ayé mú àyípadà dé bá ìyàtọ̀ ìgbóná láarín ọ̀sán àti òru.
Air is the name given to atmosphere used in breathing and photosynthesis.	Afẹ́ jẹ́ orúko tí a fún àjọ-òyì tí a nlò fún mimi àti fún àsè-alotanna.
Air pollution is the introduction of harmful substances into the atmosphere.	Ìbafẹ́jẹ́ jási kí a ṣe àfikún pẹ̀lú àwọn ẹlà, àwọn ẹ̀wẹ́, tàbí àwọn nkan elẹ́mi miran tó lee fa ìpalára sínú àjọ-òyì ayé.
Stratospheric ozone depletion is believed to be caused by air pollution.	A ní igbagbo pé ibafẹ́jẹ́ yi ló nfa kí àwọn òyì-àrá tó wà ní òfúrufú máa dinku sí i.
Compressed air is air which is kept under a certain pressure.	Afúnpọ̀ afẹ́ jẹ́ afẹ́ tó wà nínú ìfúnpọ̀, papa èyí tó po ju ti òyì-afẹ́ ayé.
Air pressure is the pressure exerted by air molecules on a body on Earth.	Èéfún afẹ́ jẹ́ èéfún tí àwọn moleku afẹ́ ní lóri ohunkóhun to wà ní ilẹ̀ ayé.
Air pressure results from the weight of the air above a certain point on the earth.	Èéfún afẹ́ já sí ìwọ̀n afẹ́ lori ibi kọ̀ọ̀kan lori ilẹ̀ ayé.
Pneumatics is a branch of technology that deals with the study and application of pressurized gas.	Ẹ̀kọ́ eefun-afe jẹ́ eka imon-ẹ̀rọ to wa fún ẹ̀kọ́ àti isamulo eefun afe fún ise sise àti fún ipapoda.
Humidity is a measure of moisture in the air, specifically water vapor.	Ikuuku jẹ́ isewon iseri tó wà nínú afẹ́, ní pato, ti òyì omi, èyí tó jẹ́ omi tó wà ní ipò òyì.
If the climate is very humid, the air commonly feels hot and sticky.	Bi ojú-ọjọ́ bá rin púpọ̀, afẹ́ a má gbona l'ara, a sì máa mú kí ara kò rọrùn.
Global warming refers to the rising average temperature of Earth's atmosphere and oceans.	Ilowowo akariaye tokasi igbeeru aropin ìgbóná òyì ojú ayé pẹ̀lú ti àwọn òkun, àti bí àwọn nkan wọ̀nyí ṣe nyorisi àgbáyé.
In the last 100 years, Earth's average surface temperature increased by about 0.8 °C.	Ni ìwọ̀n bí ọ̀rún odun sehin, àròpín iwongbona ojú ayé ti goke síi bí 0.8C.
Weather forecasting is the prediction of what the atmosphere will be like in a particular place.	Àsọtẹ́lẹ̀ t'ojú-ọjọ́ jẹ́ ìsọtẹ́lẹ̀ ohun tí òyì ojú ayé yóò rí bí ní ibi kan.
Weather records are used to study climate patterns over time.	Àkọsílẹ̀ nípa ojú-ọjọ́ jẹ́ ohun tí a nlò láti kẹ́kọ̀ọ́ àpẹẹrẹ sáà ojú-ọjọ́ lórí àkókò.
Weather symbols are standardized icons used to represent weather conditions in forecasting.	Àmìn-àpẹrẹ t'ojú-ọjọ́ jẹ́ àwọn àmì àfojúkọ tí a nlò láti ṣe àfihàn ipò ojú-ọjọ́ nínú àsọtẹ́lẹ̀.
Major components of dry air include nitrogen, oxygen, argon, and carbon dioxide.	Àwọn ohun-inú pàtàkì inú afẹ́-gbígbẹ ni òyì-ilẹ̀, òyì-iná, ágọ̀nù, àti òyì-èédú.
Nitrogen makes up about 78% of the Earth's atmosphere.	Òyì-ilẹ̀ jẹ́ nínú ìdá ọgọ́rin àti mẹ́jọ nínú òyì ojú ayé.
Oxygen makes up about 20% of the Earth's atmosphere.	Òyì-iná jẹ́ nínú ìdá ogún nínú òyì ojú ayé.
Carbon dioxide makes up about 0.04% of the Earth's atmosphere.	Òyì-èédú jẹ́ nínú ìdá ọ̀kan nínú ẹgbàá méjì àti ìbọ́ nínú òyì ojú ayé.
Moving air, called wind, has great force and enables the movement of sailboats.	Afẹ́ tó nfẹ́, tí a npè ní afẹ́fẹ́ tàbí atẹ́gùn ní ipá púpọ̀ ó sì nfun àwọn oko oju-omi ní agbara lati rajo.
Wind is used to run windmills, which generate electricity.	A nlò afẹ́fẹ́ láti lo àwọn ẹ̀rọ afẹ́fẹ́, tí wọ́n fi npèsè agbára àrá.
Wind helps in the dispersal of seeds in many plant species.	Afẹ́fẹ́ nṣe ìrànlọ́wọ́ fún ifunrugbin lọ́pọ̀lọpọ̀ àwọn ẹ̀yà ọ̀gbìn.
Plants take carbon dioxide from air for photosynthesis.	Àwọn ọ̀gbìn a máa mú òyì-èédú láti inú afẹ́ fún àsè-ìtànná, ọ̀nà tí wọ́n ngba ṣe ìjẹ wọn.
The ozone layer in the atmosphere protects us from harmful ultraviolet rays.	Ipele òyì-ara tó wà loke àjọ-òyì ayé ndaabo bo wá lọ́wọ́ àwọn ìtànná buburu tí ó nti oòrùn la wá.
During the day, the atmosphere prevents excessive heat from the sun from reaching us.	Ni ọ̀sán, òyì-ojú ayé ni ó nṣe idilowo fún ìgbóná púpọ̀ láti oòrùn kí ó má báà de ọ̀dọ̀ wa.
At night, the atmosphere traps surface heat and prevents it from escaping.	Ni òru, òyì-ojú ayé a sì di ìgbóná ojú-ilẹ̀ mú kí ó má báà sálọ.
The seasons are caused by the tilt of Earth's axis as it orbits around the sun.	Àwọn àkókò ọdún wá látorí tíọrọ irin oka ilẹ̀ ayé bí ó ṣe nyí ká oòrùn.
Weather affects many aspects of human life, including agriculture and transportation.	Ojú-ọjọ́ ní ipa lórí ọ̀pọ̀ àwọn apá igbesi ayé ènìyàn, pẹ̀lú ọ̀gbìn àti ọkọ̀ rírìn.
Oceanography is the study of Earth's oceans - their composition, movement, organisms and processes.	Ẹ̀kọ́ nípa àwọn òkun jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ nípa àwọn òkun, ohun-inú wọn, ìpapòdà wọn, àwọn ẹ̀dá-alààyè inú wọn, ìṣesí wọn àti bẹ́ẹ̀bẹ́ẹ̀ lọ.
The oceans cover most of our planet and are important resources for food and other commodities.	Àwọn òkun ni wọ́n bojú púpọ̀ ilé ayé wa wọ́n sì jẹ́ olùpèsè onjẹ àti àwọn àlùmọ́nì míran.
The oceans are increasingly being used as an energy source.	A sì nri wípé wọ́n ti npelemọ nínú ìpèsè agbára tí a nlò láti ṣe àwọn nkan.
The oceans have a major influence on the weather and changes in the oceans can drive or moderate climate change.	Àwọn òkun sì ní ọ̀pọ̀lọ́pọ̀ ipa ti wọ́n nkó lórí ojú-ọjọ́. Àwọn ìparadà tó nṣẹlẹ̀ nínú àwọn okun lè fa ìrúkèrúdò tàbí kí wọn tilẹ̀ mú àyípadà dé bá sáà ojú-ọjọ́.
Oceanographers work to develop the ocean as a resource and protect it from human impact.	Àwọn onímọ̀n-jinlẹ̀ ẹ̀kọ́ òkun nṣiṣẹ láti wá ìlò wọn fún ìpèsè ọrọ̀ àti láti dáàbò bo wọ́n lọ́wọ́ ìlòkúlò ọmọ aráyé.
The goal is to utilize the oceans while minimizing the effects of our actions.	Ìyànjú wa ni wípé ki a lè lo àwọn òkun kí a má sì jẹ́ kí ìṣèwàhù wa ní ipa lórí wọn.
An ocean is a body of salt water that covers much of the Earth's surface.	Òkun jẹ́ àgbágbúù omi oníyọ̀ tó bojú ọ̀pọ̀lọpọ̀ ojú ayé.
