source,target
Science is the study of the structure and function of living and non-living matter.,Ẹ̀kọ́ Ìmọ̀-jinlẹ̀ jẹ́ ẹ̀kọ́ ètò-inú àti ìlò àwọn àìdá oníyè àti àwọn àìdá àìníyè.
"It is knowledge gained by observation, identification, description, experimental investigation, and theoretical explanation of phenomena.","Ó jẹ́ ìmọ̀ tí a jèrè nípa àkíyèsí, ìfihàn, ìjúwe, ìwádi-pẹ̀lú àṣewò, àti àlàyé pẹ̀lú ọgbọ́n-orí àwọn ohun ìrúnilójú tàbí àgbàyanu."
Scientific Method is a set of techniques for investigating phenomena.,Ìlànà ìmọ̀-jinlẹ̀ jẹ́ Irú ìlànà-ìṣe tí a fi nṣèwádi àwọn oun ìrúnilójú.
"Matter is something that can be held, can be seen or can be perceived.","Àìdá jẹ́ ohunkohun tí a lè dání, tí a lè gáání tàbí tí a lè náání."
Matter can not be created nor destroyed.,"A kò lè dá àìdá, beeni a kò lè pa àìdá run."
Living things are those that have life.,Àwọn àìdá-oníyè jẹ́ àwọn tí wọ́n ní ìyè.
"Living things breathe, take in food for fuel, reproduce and eventually die.","Àwọn ẹ̀dá-oníyè mí, wọ́n lè ló onjẹ fún okun, wọ́n lè ṣẹ̀dá àwọn ẹ̀dá míràn bí tiwọn, àti pé wọ́n yóò kú níkẹhin."
Non-living things do not have most of the characteristics of living things.,Àwọn àìdá-àìníyè kò ní ọ̀pọ̀lọ́pọ̀ àwọn ìfihàn àwọn àìdá-oníyè.
"Technology is a body of knowledge used to create tools, develop skills, and extract materials.","Ẹ̀kọ́ ìmọ̀-ẹ̀rọ jẹ́ ìmọ̀ tí a fi nṣẹ̀dá àwọn irinṣẹ́, tí a fi ngòkè nínú ìmọ̀ṣe, tí a fi nfa tàbí ṣàkójọ àwọn nkan."
Technology is also the application of science to meet an objective or solve a problem.,Ẹ̀kọ́ ìmọ̀-ẹ̀rọ sì jẹ́ ọ̀nà ìmúlò ẹ̀kọ́ ìmọ̀-jinlẹ̀ láti ṣe ojútùú ìyọnu tàbí láti ṣèwádi àwọn ohun ìrújú.
A machine is a device that manages power to accomplish a task.,Ẹ̀rọ jẹ́ Oun tí a dá tàbí tí a rọ láti fi lo ìgbóra fún iṣẹ́ ṣíṣe.
Simple machines create a greater output force than the input force.,Ìgbóra tí àwọn ẹ̀rọ àkọ́dá yi bá jáde ju ìgbóra tí o wọ inú wọn lọ.
The ratio of these forces is the mechanical advantage of the machine.,Ìbùpín ìgbóra àbájade àti ìgbóra àbáwọlé ni a npè ní à-nfàní ẹ̀rọ.
Scientists use their knowledge to study natural phenomena.,Àwọn onímọ̀n-jinlẹ̀ ló nlò ìmọ̀ wọn láti ṣe ìwádì àwọn ìṣẹ̀lẹ̀ adáyébáyé.
Engineers apply scientific principles to design and build machines.,Àwọn aṣẹ̀rọ ló nlò àwọn ìlànà ìmọ̀-jinlẹ̀ láti ṣe àgbékalẹ̀ àti kíkọ́ àwọn ẹ̀rọ.
"The scientific method includes systematic observation, measurement, and experimentation.","Ìlànà ìmọ̀-jinlẹ̀ ní àkíyèsí ètò, ìdíwọ̀n, àti àṣewò."
Theories in science are explanations that are well-supported by evidence.,Àwọn àlàyé ní ẹ̀kọ́ ìmọ̀-jinlẹ̀ jẹ́ àwọn ìtumọ̀ tí a ti fi ẹ̀rí gbè léyin dáradára.
A scientific law describes an observed phenomenon without explaining why it happens.,Òfin ìmọ̀-jinlẹ̀ jẹ́ àpèjúwe àwọn ìṣẹ̀lẹ̀ tí a ti ṣàkíyèsí láìnídí nítorí tí ó fi ṣẹlẹ̀.
Hypotheses are proposed explanations that can be tested through experiments.,Àwọn àròsọ jẹ́ àlàyé tí a gbèrò tí a sì lè fi àṣewò dánwò.
Science enables us to understand the natural world through observation and experimentation.,Ìmọ̀-jinlẹ̀ jẹ́ kí a ní òye ayé adáyébáyé nípa àkíyèsí àti àṣewò.
Technology allows us to apply scientific knowledge to solve practical problems.,Ìmọ̀-ẹ̀rọ jẹ́ kí a lè lo ìmọ̀ sáyẹ́nsì láti yanjú àwọn ìṣòro tí ó wà lọ́wọ́lọ́wọ́.
"Physics studies matter, energy, and their interactions.","Ẹ̀kọ́ nípa-ẹ̀dá jẹ́ ẹ̀kọ́ ìmọ̀-jìnlẹ̀ nípa ẹ̀dá, agbára àti bíwọn ṣe nfi ara wọn hàn."
"Chemistry explores the composition, structure, and properties of substances.","Ẹ̀kọ́ Ẹlà jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ ti ẹ̀dá, pápàá, ti ìṣesí, ètò-inú, ohun-inú, ìṣèwàhù, àsè, ìbáraṣepọ̀ àti àwọn ìyípadà."
Biology focuses on living organisms and their interactions with each other and their environment.,"Ẹ̀kọ́ ẹ̀dá-oníyè jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ nípa àwọn ẹ̀dá gbogbo tó ní ìyè, ní pàtàkì, ètò-inú, ìlò, ìdàgbàsókè, ìṣẹ̀dá, ìtìranyà, ìpínkáàkiri, àti ìkàsí wọn."
Earth sciences study the planet Earth and its systems.,Ẹ̀kọ́ nípa ilẹ̀-ayé jẹ́ kòkárí èdè tí a nlò fún ìmọ̀-jìnlẹ̀ àwọn ẹ̀kọ́ tó ní ṣiṣe pẹ̀lú ilẹ̀ ayé.
Astronomy explores celestial objects and phenomena beyond Earth.,Ẹ̀kọ́ nípa àwọn Ẹ̀dá-t'Ọ̀run jẹ́ ẹ̀kọ́ ìmọ̀-jìnlẹ̀ tó wà fún kíkọ́ nípa àwọn ẹ̀dá t'ọ̀run.
Engineering applies scientific principles to design and build structures and systems.,Iṣẹ́-ẹ̀rọ jẹ́ lílò àwọn ìlànà ìmọ̀-jinlẹ̀ láti ṣe àgbékalẹ̀ àti kíkọ́ àwọn ilé àti ètò.
Mathematics provides the language and tools for scientific analysis.,Ẹ̀kọ́ ìṣirò npèsè èdè àti àwọn irinṣẹ́ fún àtúpalẹ̀ ìmọ̀-jinlẹ̀.
Scientific knowledge is always evolving as new evidence emerges.,Ìmọ̀ ìmọ̀-jinlẹ̀ máa ńlọ síwájú bí àwọn ẹ̀rí tuntun ṣe ńjáde.
The process of peer review helps to ensure the reliability of scientific findings.,Ìgbéṣe àwọn akẹgbẹ́ láti ṣe àtúnyẹ̀wò ló nrànlọ́wọ́ láti dá àwọn èsì ìmọ̀-jinlẹ̀ lójú.
Research often leads to technological innovations that improve our lives.,Ìwádì máa ńfà sí àwọn ìmọ̀-ẹ̀rọ tuntun tí ó ńmú ìgbésí ayé wa dára si.
Science education helps to develop critical thinking and problem-solving skills.,Ẹ̀kọ́ ìmọ̀-jinlẹ̀ jẹ́ kí a lè gbèrò-jìnlẹ̀ àti ìṣeéṣe ojútùú ìṣòro.
Scientific literacy is important for making informed decisions about personal and societal issues.,Ìmọ̀-jinlẹ̀ ṣe pàtàkì fún mímọ̀ bí àwọn ìpinnu ṣe dára nípa àwọn ọ̀rọ̀ ara ẹni àti ti àwùjọ.
Environmental science helps us understand how human activities affect the natural world.,Ẹ̀kọ́ àgbèègbè ràn wá lọ́wọ́ láti mọ̀ bí àwọn iṣẹ́ ọmọ ènìyàn ṣe kan àgbáyé adáyébáyé.
"Medical science aims to prevent, diagnose, and treat diseases.","Ẹ̀kọ́ ìṣègùn dá lórí ìdènà, ìdámọ̀ àrùn, àti ìwòsàn àwọn àìsàn."
Computer science studies computational systems and how to use them effectively.,Ẹ̀kọ́ kọ̀mpútà jẹ́ ẹ̀kọ́ nípa àwọn ètò ìṣirò àti bí a ṣe lè lò wọ́n ní ọ̀nà tó múná dóko.
Agricultural science focuses on improving crop yields and sustainable farming practices.,Ẹ̀kọ́ ọ̀gbìn dá lórí mímú èrè oko pọ̀ si àti àwọn ìṣe àgbẹ̀ tó ṣeé gbé dúró.
Renewable energy research seeks to develop sustainable alternatives to fossil fuels.,Ìwádì agbára tí a lè tún-lò ńwá ọ̀nà láti ṣe àgbékalẹ̀ àwọn ṣíṣe ìrọ́pò tí ó dúró fún àwọn epo rọ̀bì.
Genetics explores how traits are inherited and how they affect organisms.,Ẹ̀kọ́ nípa ìran ṣe ìwádì bí àwọn àbùdá ṣe ń jẹ́ jogún àti bí wọ́n ṣe kan àwọn ẹ̀dá alààyè.
Neuroscience studies the structure and function of the nervous system.,Ẹ̀kọ́ ìmọ̀-ẹsọ jẹ́ ẹ̀kọ́ nípa ètò-inú àti ìlò ètò ẹ̀sọ ara.
Ecology examines the relationships between organisms and their environment.,Ẹ̀kọ́ nípa ọjọ̀ ṣe àyẹ̀wò àwọn ìbáṣepọ̀ láàrín àwọn ẹ̀dá alààyè àti àgbèègbè wọn.
Oceanography explores the physical and biological aspects of oceans.,"Ẹ̀kọ́ nípa àwọn òkun jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ nípa àwọn òkun, ohun-inú wọn, ìpapòdà wọn, àwọn ẹ̀dá-alààyè inú wọn, ìṣesí wọn."
Meteorology studies atmospheric conditions and weather patterns.,Ẹ̀kọ́ òyijú-ayé jẹ́ ẹ̀kọ́ òyì ojú ayé àti àwọn ọ̀nà tí òyì ojú-ayé ngbà pilẹ̀ṣẹ̀ ojú-ọjọ́ òun sáà ojú-ọjọ́.
Climate science investigates long-term weather patterns and their changes.,Ẹ̀kọ́ nípa sáà ojú-ọjọ́ ṣe ìwádì àwọn àpẹẹrẹ ojú-ọjọ́ tó wà fún ìgbà-pípẹ́ àti àwọn ìyípadà wọn.
Particle physics studies the fundamental particles that make up matter.,Ẹ̀kọ́ nípa àwọn ẹ̀dá kékeré jẹ́ ẹ̀kọ́ nípa àwọn ẹ̀yà-ẹ̀dá tó jẹ́ pàtàkì tí ó ṣe àkójọpọ̀ ohun.
Quantum mechanics describes the behavior of matter at the atomic scale.,Ìlànà iṣẹ́ kúátọ̀mù ṣe àpèjúwe ìhùwàsí ohun ní ìwọ̀n átọ̀mù.
Organic chemistry focuses on carbon-based compounds.,Ẹ̀kọ́ ẹlà-eléedú ṣe àkíyèsí pàtàkì àwọn àsèpọ̀ tí ó ní èèdú nínú.
Inorganic chemistry studies compounds that generally do not contain carbon.,Ẹ̀kọ́ ẹlà-aláìléedú ṣe ìwádì àwọn àsèpọ̀ tí wọn kò ní èèdú nínú.
Biochemistry explores the chemical processes that occur within living organisms.,Ẹ̀kọ́ ẹlà-ìyè jẹ́ ẹ̀kọ́ nípa àwọn ìlànà ẹlà tí ó ńṣẹlẹ̀ nínú àwọn ẹ̀dá alààyè.
Nuclear physics studies the structure and behavior of atomic nuclei.,Ẹ̀kọ́ nípa-ẹ̀dá àgọ́ átọ̀mù ṣe ìwádì ètò-inú àti ìhùwàsí àwọn àgọ́ átọ̀mù.
"Thermodynamics deals with heat, energy, and work in physical systems.","Ẹ̀kọ́ okun-iná jẹ́ nípa okun-iná, agbára, àti iṣẹ́ nínú àwọn ètò ẹ̀dá."
Fluid dynamics studies the movement of liquids and gases.,Ẹ̀kọ́ ìṣọ̀n aṣàn àti òyì jẹ́ ẹ̀kọ́ nípa ìpapòdà àwọn aṣàn àti òyì.
Electromagnetism explores the relationship between electricity and magnetism.,Ẹ̀kọ́ àrá òun òòfà jẹ́ ẹ̀kọ́ nípa ìbáṣepọ̀ láàrín okun-àrá àti àwọn òòfà.
Nanotechnology deals with manipulating matter at the nanoscale.,Ìmọ̀-ẹ̀rọ tíníní jẹ́ nípa ìkápá ohun ní ìwọ̀n tíníní.
Biotechnology applies biological systems to develop products and technologies.,Ìmọ̀-ẹ̀rọ alààyè jẹ́ lílò àwọn ètò alààyè láti ṣe àgbékalẹ̀ àwọn ọjà àti àwọn ìmọ̀-ẹ̀rọ.
Robotics combines engineering and computer science to create automated machines.,Ẹ̀kọ́ róbọ̀ọ̀tì jẹ́ àdàpọ̀ ìmọ̀-ẹ̀rọ àti ẹ̀kọ́ kọ̀mpútà láti ṣẹ̀dá àwọn ẹ̀rọ afararáṣiṣẹ́.
Artificial intelligence aims to create machines that can perform tasks requiring human intelligence.,Ọgbọ́n àdámọwáyé jẹ́ láti ṣẹ̀dá àwọn ẹ̀rọ tí ó lè ṣe àwọn iṣẹ́ tí ó nílò ọgbọ́n ènìyàn.
Space science studies phenomena that occur beyond Earth's atmosphere.,Ẹ̀kọ́ nípa òfúrufú jẹ́ ẹ̀kọ́ nípa àwọn ìṣẹlẹ̀ tí ó ńṣẹlẹ̀ lẹ́yìn òyì ojú-ayé.
Paleontology studies the history of life on Earth through fossils.,Ẹ̀kọ́ àwọn ẹ̀dá àtijọ́ jẹ́ ẹ̀kọ́ nípa ìtàn ìyè lórí ilẹ̀ ayé nípa àwọn egungun tí ó ti sọdi òkúta.
"Cosmology examines the origin, evolution, and structure of the universe.","Ẹ̀kọ́ nípa àgbáyé jẹ́ ẹ̀kọ́ nípa ìbẹ̀rẹ̀, ìdàgbàsókè, àti ètò-inú àgbáyé."
Seismology studies earthquakes and seismic waves.,Ẹ̀kọ́ nípa ìjì-ilẹ̀ jẹ́ ẹ̀kọ́ nípa àwọn ìjì-ilẹ̀ àti àwọn agbọ̀n ìjì-ilẹ̀.
Materials science investigates the properties and applications of different materials.,Ẹ̀kọ́ àwọn ohun ìṣẹ̀dá jẹ́ ẹ̀kọ́ nípa àwọn ìṣesí àti àwọn ìlò àwọn ohun ìṣẹ̀dá oríṣiríṣi.
Conservation biology focuses on protecting biodiversity and natural resources.,Ẹ̀kọ́ ẹ̀dá-oníyè ìpamọ́ jẹ́ ẹ̀kọ́ nípa ìdáàbòbò oríṣiríṣi ẹ̀dá àti àwọn ohun àìlùmọ́nì adáyébáyé.
Data science analyzes and interprets complex digital data.,Ẹ̀kọ́ dátà ṣe àtúpalẹ̀ àti ìtúmọ̀ dátà oníka tó ńṣòro láti mọ̀.
"Microbiology studies microscopic organisms such as bacteria, viruses, and fungi.","Ẹ̀kọ́ ẹ̀yàwuuru jẹ́ ẹ̀kọ́ nípa àwọn ẹ̀dá tó kéré púpọ̀ bíi àlámọ̀, àwọn ọlọ́jẹ̀, àti osun."
Immunology explores how the body defends itself against disease.,Ẹ̀kọ́ nípa ìdáàbòbò ara jẹ́ ẹ̀kọ́ bí ara ṣe ńgbèjà ara rẹ̀ lọ́wọ́ àìsàn.
Pharmacology studies how drugs interact with living systems.,Ẹ̀kọ́ nípa oògùn jẹ́ ẹ̀kọ́ bí àwọn oògùn ṣe ńbára wọn ṣepọ̀ pẹ̀lú àwọn ètò alààyè.
Toxicology investigates the effects of poisons and toxic substances.,Ẹ̀kọ́ nípa májèlé jẹ́ ẹ̀kọ́ nípa àwọn ipa àwọn májèlé àti àwọn ohun olóró.
Epidemiology studies the distribution and determinants of health-related events.,Ẹ̀kọ́ nípa àwọn àìsàn àjàkálẹ̀ jẹ́ ẹ̀kọ́ nípa ìpínkáàkiri àti àwọn òkùnfà àwọn ìṣẹ̀lẹ̀ tó jọ mọ́ ìlera.
Zoology is the scientific study of animals and their behavior.,Ẹ̀kọ́ nípa ẹran jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ nípa àwọn ẹranko àti ìṣèwàhù wọn.
Botany is the scientific study of plants and their structure.,Ẹ̀kọ́ nípa ọ̀gbìn jẹ́ ẹ̀kọ́ ìmọ̀-jinlẹ̀ nípa àwọn ọ̀gbìn àti ètò-inú wọn.
